mongol,1.00
monkey,0.81
mook,0.00
moon cricket,0.00
Moor,0.00
moss eater,0.00
mosshead,0.00
moulie,0.24
moulignon,0.00
moulinyan,0.32
moxy,0.00
MTN,0.00
mud duck,0.86
mud person,0.65
mud shark,0.00
muk,0.00
muktuk,0.00
mulato,0.72
mulignan,0.45
mung,0.31
munt,0.00
munter,0.00
mutt,0.65
muzzie,0.47
nacho,0.00
neche,0.00
ned,0.00
neechee,0.00
neejee,0.00
net head,0.00
newfie,0.31
nicca,1.00
nichi,0.00
nichiwa,0.00
nidge,0.00
nig,0.50
nig nog,1.00
nigar,1.00
niger,1.00
nigette,0.50
nigga,0.68
niggah,1.00
niggar,1.00
nigger,0.49
nigglet,0.41
niggor,0.50
niggress,0.70
nigguh,0.76
niggur,0.50
niglet,0.85
nigor,0.91
nigra,1.00
nigre,1.00
nip,0.00
nitchee,0.00
nitchie,0.00
nitchy,0.17
Northern monkey,0.00
ocker,0.00
octaroon,0.00
octroon,0.29
ofay,0.00
Orangie,0.00
Oreo,0.00
Oriental,0.74
oven dodger,0.29
paddy,0.00
paki,0.70
paleface,0.13
pancake,0.50
pancake face,0.55
papist,0.37
papoose,0.00
peckerwood,0.48
Pepper,0.00
Pepsi,0.00
pickaninny,0.68
piker,0.00
pikey,0.52
piky,0.00
pineapple nigger,0.37
ping pang,0.00
pinto,0.37
plastic paddy,0.22
pogue,0.00
pohm,0.00
pointy head,0.00
polack,0.00
pollo,0.00
pom,0.00
pommie,0.00
pommie grant,0.00
pommy,0.00
popolo,0.00
poppadom,0.00
porch monkey,0.69
powderburn,0.00
prairie nigger,0.80
prod,0.00
proddy dog,0.32
proddywhoddy,0.50
proddywoddy,0.24
property,0.00
Punjab,0.00
pussy,0.14
quadroon,0.00
quashie,0.00
queen,0.00
queer,0.14
race traitor,0.00
raghead,0.63
red bone,0.00
redlegs,0.00
redneck,0.51
redskin,0.93
retard,0.24
retarded,0.21
Rhine monkey,0.50
Rico Suave,0.00
roofucker,0.93
roundeye,0.47
rube,0.00
Russellite ,0.00
sambo,0.00
sawney,0.00
scag,0.00
scallie,0.00
scally,0.00
scanger,0.00
semihole,0.75
senga,0.00
seppo,0.00
septic,0.00
shade,0.00
shant,0.00
shanty Irish,0.00
sheeny,1.00
sheepfucker,0.50
sheister,0.00
Shelta,0.00
shine,0.00
shiner,0.00
shit heel,0.00
shit kicker,0.00
Shy,0.48
Shylock,0.55
shyster,0.72
sideways cooter,0.00
sideways pussy,0.48
sideways vagina,0.65
skag,0.00
skanger,0.00
skinny,0.00
Skip,0.00
Skippy,0.00
slag,0.10
slant,1.00
slant eye,0.98
slit,0.00
slope,0.82
slopehead,0.00
slopey,0.00
slopy,0.00
smoke jumper,0.00
smoked Irish,0.00
smoked Irishman,0.03
snout,0.00
snowflake,0.00
sole,0.00
sooty,0.00
soup taker ,0.48
Southern fairy,0.00
spade,0.89
spear chucker,0.86
sperg,0.51
spic,0.95
spice nigger,0.27
spick,0.00
spickaboo,0.00
spide,0.00
spig,0.00
spigger,0.00
spigotty,0.00
spik,0.00
spike,0.00
spink,0.00
spiv,0.20
spook,0.43
squarehead,0.55
squaw,0.90
squinty,0.00
steek,0.00
stovepipe,0.00
stump jumper,0.34
sub human,1.00
sucker fish,0.00
suntan,0.00
surrender monkey,0.00
Taffy,0.00
tan,0.00
tar baby,0.77
teabagger,0.00
teapot,0.02
tenker,0.00
thicklips,0.96
tiger,0.00
timber nigger,0.97
tincker,0.00
tinkar,0.00
tinkard,0.00
tinker,0.00
tinkere,0.00
Tommy,0.00
touch of the tar brush,0.00
towel head,0.33
trailer park trash,0.30
trailer trash,0.23
tranny,0.50
trash,0.00
tree jumper,0.00
tunnel digger,0.00
twat,0.03
Twinkie,0.00
tyncar,0.00
tynekere,0.00
tynkard,0.00
tynkare,0.00
tynker,0.00
tynkere,0.00
uncircumcised baboon,0.00
uncivilised,0.23
uncivilized,0.00
Uncle Tom,0.50
Velcro head,0.00
wagon burner,0.50
WASP,0.02
wetback,0.66
wexican,0.00
whigger,1.00
white chocolate,0.48
white nigger,0.75
white trash,0.62
whitey,0.63
whore from Fife,0.82
WIC,0.00
wigga,0.82
wigger,0.31
wiggerette,0.49
wink,0.00
wog,0.55
wop,1.00
Yank,0.00
Yankee,0.00
yardie,0.00
yellow,0.70
yellow bone,0.32
yid,0.50
yob,0.00
yobbo,0.00
yokel,0.09
zebra,0.24
zigabo,0.00
Zionazi,0.47
zip,0.99
zipperhead,0.81
zippohead,0.00
ZOG,0.00
ZOG lover,1.00
